Source,Destination,Area,Weight
61,54,38.88,30920.0
61,54,38.88,30920.0
61,54,38.88,30920.0
61,54,38.88,30920.0
61,54,38.88,30920.0
61,54,38.88,30920.0
61,54,38.88,30920.0
61,54,38.88,30920.0
61,54,38.88,30920.0
61,54,38.88,30920.0
61,54,38.88,30920.0
61,54,38.88,30920.0
61,54,38.88,30920.0
61,54,38.88,30920.0
61,54,38.88,30920.0
61,54,38.88,30920.0
61,54,38.88,30920.0
61,54,38.88,30920.0
61,54,38.88,30920.0
61,54,38.88,30920.0
61,54,38.88,30920.0
61,54,38.88,30920.0
61,54,38.88,30920.0
61,54,38.88,30920.0
61,54,38.88,30920.0
61,54,38.88,30920.0
61,54,38.88,30920.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
61,53,9.84,7640.0
